,Unnamed: 0.1,Unnamed: 0,comment
0,0,0,guys untuk kiting cake ada kesalahan penulisan harga yaa harusnya harganya 195000 bukan 360000mohon maaf atas kesalahan penulisanyaa
1,1,1,masyaallah cantiknyaa
2,2,2,tebal nya kan jadi ensk biar dapat rasa ciklat nya
3,3,3,kaaa kamu bisa bgt rating makanan kaya pinter bgt gitu ktakatnya pas gtuu semangat ka tasyiiiii lop yuuuuu 
4,4,4,batlle minuman serbuk kayak marimas jasjus dong
5,5,5,link pmblian coklatnya gk ad kak
6,6,6,battle mochiiiii
7,7,7,kak tasyi wajib review tuniang bali punya ibunya kak maharani kemala ditunggu videonya kak
8,8,8,ga eneg kah ka
9,9,9,dari semua food vlogger emamg paling dinanti yg review tasyi detail dan bisa ngasih masukan kekurangannya apa biar bs di upgrade  lidahnya tuh brp kali gw blg harus di asuransiin sih
10,10,10,assalamualaikum kak tasyi boleh saya mintak coklat dubai nya mau beli belom bisa karena harganya mahal banget ngidam coklat itu sekarang sedang hamil 6 bulan
11,11,11,bikin battle don bakeshop sm becca plissssss
12,12,12,yahh yang harvest gaak ada
13,13,13,kata nya don bakeshop aga kemanisan 
14,14,14,kak battle dimsum pleaseee
15,15,15,battle nama chocolate dong
16,16,16,kaaa link pembelian yg chi keik dongg
17,17,17,dari review kak tasyi jadi tahu mana cok dub yg sesuai selera dan kantong tp yg paling penting kandungannya halal
18,18,18,ada yg pernah coba coklat yg the harvest sm lets go gelato gakk review nya donggg
19,19,19,nextt mie ayamm doongg
20,20,20,kak please nextnya aku recommend cobain mamamiel kitchen harvest cake beccas
21,21,21,sudah aku duga pasti yang menang don bake shop karena don bake shop emang se enak itu
22,22,22,2406 bejir jastipnya markupnya banyak buanget wkwkwkwk pdhl sama sama jkt btw ada yg bahannya kek donbakeshop baru launching circles bakery
23,23,23,1527 donbakeshop ni wkwkwk keliatan beet dia pake seasalt kak di dalemnya pistachioktaifi wkwk
24,24,24,821 dari sini keliatan jelas fix yg ini wkwk
25,25,25,battle basreng mentah kak
26,26,26,malah iklan skincare
