,Unnamed: 0,comment
0,0,"Guys untuk kiting cake ada kesalahan penulisan harga yaa.. harusnya harganya 195.000 bukan 360.000

Mohon Maaf atas kesalahan penulisanyaa

🙏🏻🙏🏻"
1,1,MasyaAllah cantiknyaa
2,2,Tebal nya kan jadi ensk ..biar dapat rasa ciklat nya
3,3,Kaaa kamu bisa bgt rating makanan kaya pinter bgt gitu ktakatnya pas gtuu semangat KA tasyiiiii lop yuuuuu ❤
4,4,Batlle minuman serbuk kayak marimas jasjus dong
5,5,Link pmblian coklatnya gk ad kak?
6,6,battle mochiiiii
7,7,"Kak tasyi wajib review tuniang bali punya ibunya kak Maharani Kemala, ditunggu videonya kak"
8,8,Ga eneg kah ka?😢
9,9,"Dari semua food vlogger emamg paling dinanti yg review Tasyi.. DETAIL dan bisa ngasih masukan kekurangannya apa biar bs di upgrade.. 🎉🎉🎉🎉 lidahnya tuh brp kali gw blg, harus di asuransiin sih❤❤"
10,10,"Assalamualaikum, kak tasyi. Boleh saya mintak coklat dubai nya. Mau beli belom bisa karena harganya mahal banget🙏. Ngidam coklat itu, sekarang sedang hamil 6 bulan."
11,11,BIKIN BATTLE DON BAKESHOP SM BECCA PLISSSSSS
12,12,Yahh yang harvest gaak ada
13,13,Kata nya don bakeshop aga kemanisan ???
14,14,Kak battle dimsum pleaseee🥹
15,15,Battle nama chocolate dong
16,16,kaaa link pembelian yg chi keik dongg
17,17,Dari review kak Tasyi jadi tahu mana cok dub yg sesuai selera dan kantong. Tp yg paling penting kandungannya halal
18,18,Ada yg pernah coba coklat yg the harvest sm lets go gelato gakk? Review nya donggg
19,19,Nextt mie ayamm doongg
20,20,"KAK PLEASE NEXTNYA AKU RECOMMEND COBAIN:
- mamamiel kitchen
- harvest cake
- becca’s"
21,21,sudah aku duga pasti yang menang don bake shop karena don bake shop emang se enak itu
22,22,"24:06 bejir jastipnya markupnya banyak buanget wkwkwkwk pdhl sama sama jkt😅 btw ada yg bahannya kek donbakeshop baru launching, circles bakery"
23,23,15:27 donbakeshop ni wkwkwk keliatan beet. Dia pake seasalt kak di dalemnya pistachio+ktaifi wkwk
24,24,8:21 dari sini keliatan jelas fix yg ini wkwk
25,25,battle basreng mentah kak
26,26,Malah iklan skincare
27,27,"Klau lumer memang pistachio bakalan kurang berasa lah, kan banyakan cairannya (oil), klau mau berasa pistachio ya cairan (oilnya) dibuat sedikit, tp jd kering ngga lumer"
28,28,Beli yg by chi keik dmna ya?
29,29,No 10 apa ee penisirin 😅
30,30,battle nugget
31,31,Konten ka tasyi ga ngebosenin
32,32,Kataifi sipaling kataifi
33,33,"Kak Tasyi cobain dong coklat Dubai yg merk Ülker dari Türki, itu terkenal banget di turki dan cepet banget habisnya, kata orang orang yg merk Ülker ini lebih enak dari pada yg di Dubai, moga read ya kak"
34,34,fix emng overratted bngt siii
35,35,Pas editan wangi sampe ilang ngakak sih wkwk
36,36,"Tasyiii... Battle mayonaise doooong... rekomendasi Mamayo, primayo, prima agung, prociz, kwepie, mayumi, maestro, mamasuka, dll..."
37,37,kak videonya jangan terlalu jauh kak
38,38,Tasyi kl diet cakep kali yaaa
39,39,"Suka bangetttt battlenya ka Tasyi, lanjutkan terus kak🥹🫶🏻"
40,40,Nonton ini sambil makan coklat don bakeshop 😅
41,41,Kadnag donbake shop ada yg ketebelan ada yg tipis kek ga sinkron. Pdhal kebanyakan riview emang paling enak donbake shop
42,42,"Sblm nnton sampe beres , pas liat yg no 8 udh feeling don sihh itu hee . Eehhh beneran don bakeshop yaaa . Blm pernah beli dan cobaa tapi dliat sekilas udh ketebak heee"
43,43,Beccas nggak ada ya...
44,44,Setelah ini Dubai Chocolate by Chi Keik pasti laku keras. 😄
45,45,"Aku suka banget konten ka tasyi bettle begini, semangat ngonten ka tasyi"
46,46,Salfok ga si cakep banget ka tasyi
47,47,Tahini ituu apa yaa??
48,48,subtitle nya ga match kak di akhir akhir😭
49,49,Tahina bukan tahini😅
50,50,ka cobain deh coklat dubai nya TERVE chocolate factory di bandung hehe enak banget menurutku ga terlalu manis
51,51,"Urutan merk

1. Studio Chocolate (almost perfect, cuman kecil aja cetakannya. 109.000)
2. Les cantiqa (210.000)
3. Pipiltin (268.000)
4. Fix Chocolate (575.000)
5. Delicia Krasiva (paling aromatic. 225.000)
6. Heavenly Taste (125.000)
7. By chi keik (Ada sedikit butiran garam yg tdk rata 130.000)
8. Don Bake Shop (almost perfect tp bawahnya ketebelan, 280.000).
9. Kiting Cake (195.000)
10. UMKM - Sensor -"
52,52,Tapi pada bilang Don bake shop rating review nilainya rata2 aja 😂 enak banget juga ga tapi dibilang ga enak juga gak 😂
53,53,kak kalo mau battle jangan banyak ngomong dong lama banget nunggu mau batlle nya
54,54,battle es teh kak 😂
55,55,Aku pakai yg acne emang sebagus itu
56,56,kak cobain dubai kunafa nya Sina Cake enak banget
57,57,"Kak tasyi sadar gk si yg studio coklat juara no. 3 itu udh pernah masuk di ""JAJANAN RATING TERTINGGI... "" dan JUJUR MASUKAN KAKAK TETEP KONSISTEN DAN SAMA TENTANG CETAKANNYA😭😭😭 emg bnran masyaallah bgt deh reviewnya kak tasyi❤"
58,58,Nomor 10 tuh merknya Honey Butter ga si???
59,59,Harusnya ada pas di bagi 2 gitu coklat nya biar tau yg tempered chocolate sama yg ngga yg mana
60,60,5:16 kepalanya ngeri bgt
61,61,"Dubai mah padang pasir .
Gak ada tumbuhan buah2an .
Itu choclat impor"
62,62,"ooh kukira di battle ini ada dubai coklat yg dri BECCA's, soalnya bnyk yg blg itu lbh enak drpd Don Bakeshop, apalgi klo ka tasyi nyari yg fillingnya lebih ke asin gurih keknya bakal cocok :D"
63,63,IG BY CHI KEIK APASIHHH GAIS
64,64,KENAPA GAADA COKLAT DUBAI BECCA!!!! ITU PALING ENAKKKK!!!!
65,65,Aku juga pakai signatute by kamila bagus banged..
66,66,suka bgt skrg kak tasyi softlensnya agak gelap cantik poll
67,67,Yah gaada beccaaa kwkw
68,68,Salfok makin cakep aja kak Tasyi ❤
69,69,Battle cimol mozarella donggg
70,70,"Baru pertama denger review makanan dari Tasyi and I love it!!

Aku sering komplain dengerin food vlogger jaman now yg ga jelas dalam mendefinisikan rasa makanan, aroma, dan bahannya apaa cuma dari rasa makanan.
Karena seharusnya emang gituuu as a food vlogger ❤❤❤"
71,71,Gokil penjelasan nya masuk di gue kak thank u kak 🥺🎉
72,72,kak tasyi vidio battle nasi goreng kok udah ga ada?
73,73,yg dapur coklat enak ga ya
74,74,Pecinta langangan skincare hnh ❤ udh make hampir 2tahunan
75,75,battle milk bun kak
76,76,"Padahal no 1 nujum nyh ngk enak, ehh juara 3😂"
77,77,"Gue nonton ini sambil makan sambel plus krupuk, berasa krupuknya jadi coklat 😂😂"
78,78,Makin antri dah si juara 1😂
79,79,"dari awal nonton udah nebak itu nomor 1 Studio Coklat, chocolate dubai-style pertama yg aku cobain malah itu. Kalo selera aku lebih suka dia malah karena tipis, tapi ya itu balik ke selera masing2 😇"
80,80,Itu rambutnya kak tasyi keliatan nggak sih? Salfok
81,81,Untung blm ikut fomo beli fix 😭
