,Unnamed: 0,comment
0,0,"Guys untuk kiting cake ada kesalahan penulisan harga yaa.. harusnya harganya 195.000 bukan 360.000

Mohon Maaf atas kesalahan penulisanyaa

🙏🏻🙏🏻"
1,1,"24:06 bejir jastipnya markupnya banyak buanget wkwkwkwk pdhl sama sama jkt😅 btw ada yg bahannya kek donbakeshop baru launching, circles bakery"
2,2,15:27 donbakeshop ni wkwkwk keliatan beet. Dia pake seasalt kak di dalemnya pistachio+ktaifi wkwk
3,3,8:21 dari sini keliatan jelas fix yg ini wkwk
4,4,battle basreng mentah kak
5,5,Malah iklan skincare
6,6,"Klau lumer memang pistachio bakalan kurang berasa lah, kan banyakan cairannya (oil), klau mau berasa pistachio ya cairan (oilnya) dibuat sedikit, tp jd kering ngga lumer"
7,7,Beli yg by chi keik dmna ya?
8,8,No 10 apa ee penisirin 😅
9,9,battle nugget
10,10,Konten ka tasyi ga ngebosenin
11,11,Kataifi sipaling kataifi
12,12,"Kak Tasyi cobain dong coklat Dubai yg merk Ülker dari Türki, itu terkenal banget di turki dan cepet banget habisnya, kata orang orang yg merk Ülker ini lebih enak dari pada yg di Dubai, moga read ya kak"
13,13,fix emng overratted bngt siii
14,14,Pas editan wangi sampe ilang ngakak sih wkwk
15,15,"Tasyiii... Battle mayonaise doooong... rekomendasi Mamayo, primayo, prima agung, prociz, kwepie, mayumi, maestro, mamasuka, dll..."
16,16,kak videonya jangan terlalu jauh kak
17,17,Tasyi kl diet cakep kali yaaa
18,18,"Suka bangetttt battlenya ka Tasyi, lanjutkan terus kak🥹🫶🏻"
19,19,Nonton ini sambil makan coklat don bakeshop 😅
20,20,Kadnag donbake shop ada yg ketebelan ada yg tipis kek ga sinkron. Pdhal kebanyakan riview emang paling enak donbake shop
21,21,"Sblm nnton sampe beres , pas liat yg no 8 udh feeling don sihh itu hee . Eehhh beneran don bakeshop yaaa . Blm pernah beli dan cobaa tapi dliat sekilas udh ketebak heee"
22,22,Beccas nggak ada ya...
23,23,Setelah ini Dubai Chocolate by Chi Keik pasti laku keras. 😄
24,24,"Aku suka banget konten ka tasyi bettle begini, semangat ngonten ka tasyi"
25,25,Salfok ga si cakep banget ka tasyi
26,26,Tahini ituu apa yaa??
27,27,subtitle nya ga match kak di akhir akhir😭
28,28,Tahina bukan tahini😅
29,29,ka cobain deh coklat dubai nya TERVE chocolate factory di bandung hehe enak banget menurutku ga terlalu manis
30,30,"Urutan merk

1. Studio Chocolate (almost perfect, cuman kecil aja cetakannya. 109.000)
2. Les cantiqa (210.000)
3. Pipiltin (268.000)
4. Fix Chocolate (575.000)
5. Delicia Krasiva (paling aromatic. 225.000)
6. Heavenly Taste (125.000)
7. By chi keik (Ada sedikit butiran garam yg tdk rata 130.000)
8. Don Bake Shop (almost perfect tp bawahnya ketebelan, 280.000).
9. Kiting Cake (195.000)
10. UMKM - Sensor -"
31,31,Tapi pada bilang Don bake shop rating review nilainya rata2 aja 😂 enak banget juga ga tapi dibilang ga enak juga gak 😂
32,32,kak kalo mau battle jangan banyak ngomong dong lama banget nunggu mau batlle nya
33,33,battle es teh kak 😂
34,34,Aku pakai yg acne emang sebagus itu
35,35,kak cobain dubai kunafa nya Sina Cake enak banget
36,36,"Kak tasyi sadar gk si yg studio coklat juara no. 3 itu udh pernah masuk di ""JAJANAN RATING TERTINGGI... "" dan JUJUR MASUKAN KAKAK TETEP KONSISTEN DAN SAMA TENTANG CETAKANNYA😭😭😭 emg bnran masyaallah bgt deh reviewnya kak tasyi❤"
37,37,Nomor 10 tuh merknya Honey Butter ga si???
38,38,Harusnya ada pas di bagi 2 gitu coklat nya biar tau yg tempered chocolate sama yg ngga yg mana
39,39,5:16 kepalanya ngeri bgt
40,40,"Dubai mah padang pasir .
Gak ada tumbuhan buah2an .
Itu choclat impor"
41,41,"ooh kukira di battle ini ada dubai coklat yg dri BECCA's, soalnya bnyk yg blg itu lbh enak drpd Don Bakeshop, apalgi klo ka tasyi nyari yg fillingnya lebih ke asin gurih keknya bakal cocok :D"
42,42,IG BY CHI KEIK APASIHHH GAIS
43,43,KENAPA GAADA COKLAT DUBAI BECCA!!!! ITU PALING ENAKKKK!!!!
44,44,Aku juga pakai signatute by kamila bagus banged..
45,45,suka bgt skrg kak tasyi softlensnya agak gelap cantik poll
46,46,Yah gaada beccaaa kwkw
47,47,Salfok makin cakep aja kak Tasyi ❤
48,48,Battle cimol mozarella donggg
49,49,"Baru pertama denger review makanan dari Tasyi and I love it!!

Aku sering komplain dengerin food vlogger jaman now yg ga jelas dalam mendefinisikan rasa makanan, aroma, dan bahannya apaa cuma dari rasa makanan.
Karena seharusnya emang gituuu as a food vlogger ❤❤❤"
50,50,Gokil penjelasan nya masuk di gue kak thank u kak 🥺🎉
51,51,kak tasyi vidio battle nasi goreng kok udah ga ada?
52,52,yg dapur coklat enak ga ya
53,53,Pecinta langangan skincare hnh ❤ udh make hampir 2tahunan
54,54,battle milk bun kak
55,55,"Padahal no 1 nujum nyh ngk enak, ehh juara 3😂"
